FrameIndex,NumFramePresents,NumMisPresented,NumDroppedFrames,ReprojectionFlags,SystemTimeInSeconds,PreSubmitGpuMs,PostSubmitGpuMs,TotalRenderGpuMs,CompositorRenderGpuMs,CompositorRenderCpuMs,CompositorIdleCpuMs,ClientFrameIntervalMs,PresentCallCpuMs,WaitForPresentCpuMs,SubmitFrameMs,WaitGetPosesCalledMs,NewPosesReadyMs,NewFrameReadyMs,CompositorUpdateStartMs,CompositorUpdateEndMs,CompositorRenderStartMs
4887,2,1,0,108,70.598693,20.612097,0.020480,21.402624,0.770048,1.674200,0.000000,8.555901,0.273600,0.024500,0.612000,-21.210321,-7.483023,-4.166723,4.435688,10.179189,4.502889
4888,2,1,0,108,70.621045,20.527103,0.018432,21.322752,0.777216,1.947800,0.000000,9.437700,0.232300,0.023900,0.679600,-20.351622,-7.481623,-1.807423,4.429988,9.798589,4.473289
4889,2,1,0,108,70.643363,22.282240,0.019456,23.080961,0.779264,1.715600,0.000000,9.509300,0.220600,0.020600,0.779600,-20.245323,-7.476222,-3.250123,4.236189,8.973389,4.278889
4890,2,1,0,172,70.665710,20.730881,0.019456,21.519361,0.769024,1.087700,0.000000,11.359700,0.283100,0.017400,0.763200,-18.405224,-7.467823,-3.608222,4.231089,9.283689,4.259989
4891,3,2,0,172,70.688053,19.825663,0.018784,20.615519,0.771072,2.109300,0.000000,13.537200,0.487300,0.368200,0.875900,-16.207521,-7.476122,-3.440323,4.233189,8.473788,4.278789
4892,3,2,0,172,70.721555,19.353600,0.020544,20.142143,0.768000,2.090300,0.000000,13.589400,0.308500,0.032300,0.723700,-27.314322,-7.474723,-3.279223,4.233988,8.315188,4.276488
4893,3,2,0,172,70.755076,9.502720,0.019456,10.246143,0.723968,2.051700,0.000000,4.918700,0.410400,0.033200,1.230300,-36.008522,-7.473823,-2.620823,4.232089,8.441989,4.275989
4894,3,2,0,172,70.788592,18.454594,0.019456,19.199106,0.725056,1.859300,0.000000,7.303600,0.347300,0.031100,1.068300,-33.622025,-7.475623,-2.907923,4.230888,8.425988,4.260689
4895,3,2,0,172,70.822092,8.899585,0.018624,9.626817,0.708608,2.198200,0.000000,5.915800,0.443000,0.033400,1.527300,-35.001720,-7.476323,-0.834723,4.305089,8.547189,4.347689
4896,3,2,0,172,70.855611,7.795872,0.018848,8.522528,0.707808,3.167400,0.000000,7.552600,0.440100,0.038300,0.863500,-33.372822,-7.813523,-3.602123,3.745789,8.647388,3.794489
4897,3,2,0,172,70.889128,8.602624,0.019456,9.328800,0.706720,1.909800,0.000000,4.749600,0.487300,0.038000,1.228800,-36.512524,-7.812823,-1.269423,3.746488,8.403588,3.790788
4898,3,2,0,172,70.922625,7.871488,0.019456,8.608800,0.717856,1.983200,0.000000,5.905100,0.345300,0.040000,0.975800,-34.094322,-7.787123,-2.182823,3.744989,8.330688,3.785188
4899,3,2,0,172,70.956144,9.188353,0.019456,9.928704,0.720896,2.046300,0.000000,6.259600,0.542900,0.034100,1.195900,-34.981422,-7.814622,-2.701823,3.743588,8.904288,3.772989
4900,3,2,0,172,70.989653,9.058304,0.019456,9.786431,0.708672,2.168800,0.000000,5.695800,0.491200,0.028400,1.211600,-35.563023,-7.821223,-3.296623,3.745689,8.442089,3.785489
4901,3,2,0,172,71.023157,8.311808,0.018496,9.039104,0.708800,1.879000,0.000000,5.346200,0.365100,0.037500,1.664900,-35.925724,-7.821023,-2.451423,3.746389,8.314988,3.785189
4902,3,2,0,172,71.056687,7.669760,0.018432,8.400064,0.711872,1.954600,0.000000,5.840300,0.369700,0.031100,0.737600,-35.335823,-7.818423,-3.517123,3.743289,8.172588,3.772489
4903,3,2,0,172,71.090181,8.441856,0.018432,9.176064,0.715776,3.724500,0.000000,4.742100,0.375900,0.033800,0.770700,-36.423920,-7.817123,-3.230023,3.169789,8.418289,3.209589
4904,3,2,0,172,71.123697,8.389760,0.018432,9.116799,0.708608,1.941300,0.000000,5.110200,0.374300,0.035600,0.819600,-36.127022,-7.816423,-3.198723,2.754489,8.128589,2.798789
4905,3,2,0,172,71.157199,7.281632,0.019456,8.011744,0.710656,1.843100,0.000000,5.528600,0.396200,0.031800,0.859400,-35.734524,-7.812623,-3.128723,2.752289,7.699789,2.791189
4906,3,2,0,172,71.190720,8.948736,0.018624,9.681088,0.713728,1.590600,0.000000,5.469900,0.779700,0.031100,1.147800,-35.770523,-7.816923,-3.059823,2.754189,8.520389,2.781089
4907,3,2,0,172,71.224220,7.914495,0.019456,8.644703,0.710752,2.195400,0.000000,5.808900,0.631300,0.043700,0.715400,-35.451019,-7.814322,-3.832223,2.761189,8.331888,2.812189
4908,3,2,0,172,71.257732,9.091072,1.178624,10.979392,0.709696,2.080600,0.000000,4.551200,0.422300,0.034800,2.050500,-36.717022,-7.812323,-0.574023,2.753589,8.054889,2.784089
4909,3,2,0,172,71.291267,16.567297,0.019584,17.303682,0.716800,2.548900,0.000000,9.563600,0.373900,0.049900,1.790700,-31.417023,-8.411323,-3.331923,2.755488,7.977389,2.796288
