FrameIndex,NumFramePresents,NumMisPresented,NumDroppedFrames,ReprojectionFlags,SystemTimeInSeconds,PreSubmitGpuMs,PostSubmitGpuMs,TotalRenderGpuMs,CompositorRenderGpuMs,CompositorRenderCpuMs,CompositorIdleCpuMs,ClientFrameIntervalMs,PresentCallCpuMs,WaitForPresentCpuMs,SubmitFrameMs,WaitGetPosesCalledMs,NewPosesReadyMs,NewFrameReadyMs,CompositorUpdateStartMs,CompositorUpdateEndMs,CompositorRenderStartMs
640,1,0,0,4,0.000000,0.000000,0.000000,0.715744,0.715744,0.152200,0.000000,0.000000,0.111400,0.008500,0.000000,0.000000,0.000000,0.000000,8.214089,9.827489,8.242989
641,1,0,0,4,0.000000,0.000000,0.000000,0.712736,0.712736,0.179000,0.000000,0.000000,0.091800,0.008100,0.000000,0.000000,0.000000,0.000000,8.212488,9.763389,8.238889
642,1,0,0,4,0.000000,0.000000,0.000000,0.715776,0.715776,0.256900,0.000000,0.000000,0.093800,0.010700,0.000000,0.000000,0.000000,0.000000,8.218388,9.757889,8.255488
643,1,0,0,4,0.000000,0.000000,0.000000,0.716832,0.716832,0.345200,0.000000,0.000000,0.121500,0.012700,0.000000,0.000000,0.000000,0.000000,8.215988,10.090089,8.268988
644,1,0,0,4,0.000000,0.000000,0.000000,0.720896,0.720896,0.262700,0.000000,0.000000,0.097100,0.010800,0.000000,0.000000,0.000000,0.000000,8.181489,9.867589,8.219588
645,1,0,0,4,0.000000,0.000000,0.000000,0.714752,0.714752,0.504700,0.000000,0.000000,0.109000,0.011800,0.000000,0.000000,0.000000,0.000000,8.184289,10.181489,8.443890
646,1,0,0,4,0.000000,0.000000,0.000000,0.713728,0.713728,0.187300,0.000000,0.000000,0.114500,0.008800,0.000000,0.000000,0.000000,0.000000,8.019988,9.889588,8.047389
647,1,0,0,4,0.000000,0.000000,0.000000,0.717824,0.717824,0.177600,0.000000,0.000000,0.115400,0.007800,0.000000,0.000000,0.000000,0.000000,8.018389,9.995288,8.043988
648,1,0,0,4,0.000000,0.000000,0.000000,0.718848,0.718848,0.285700,0.000000,0.000000,0.223200,0.007800,0.000000,0.000000,0.000000,0.000000,8.021189,10.064789,8.059389
649,1,0,0,4,0.000000,0.000000,0.000000,0.713760,0.713760,0.314900,0.000000,0.000000,0.162300,0.010200,0.000000,0.000000,0.000000,0.000000,8.019388,9.908289,8.051389
650,1,0,0,4,0.000000,0.000000,0.000000,0.714752,0.714752,0.249900,0.000000,0.000000,0.092300,0.006900,0.000000,0.000000,0.000000,0.000000,8.019788,9.769488,8.054688
651,1,0,0,4,0.000000,0.000000,0.000000,0.713728,0.713728,0.241500,0.000000,0.000000,0.092500,0.006700,0.000000,0.000000,0.000000,0.000000,8.020188,9.803589,8.055489
652,1,0,0,4,0.000000,0.000000,0.000000,0.716800,0.716800,0.155700,0.000000,0.000000,0.106300,0.014000,0.000000,0.000000,0.000000,0.000000,8.017989,9.891989,8.040889
653,1,0,0,4,0.000000,0.000000,0.000000,0.713728,0.713728,0.277200,0.000000,0.000000,0.196400,0.011800,0.000000,0.000000,0.000000,0.000000,8.024889,10.042789,8.065289
654,1,0,0,4,0.000000,0.000000,0.000000,0.726016,0.726016,0.356300,0.000000,0.000000,0.231600,0.010200,0.000000,0.000000,0.000000,0.000000,8.026188,10.198988,8.090388
655,1,0,0,4,0.000000,0.000000,0.000000,0.719872,0.719872,0.279500,0.000000,0.000000,0.123100,0.014300,0.000000,0.000000,0.000000,0.000000,8.020889,10.014989,8.056588
656,1,0,0,4,0.000000,0.000000,0.000000,0.719872,0.719872,0.230000,0.000000,0.000000,0.121000,0.011400,0.000000,0.000000,0.000000,0.000000,8.024088,9.904589,8.064488
657,1,0,0,4,0.000000,0.000000,0.000000,0.713728,0.713728,0.303500,0.000000,0.000000,0.122500,0.017000,0.000000,0.000000,0.000000,0.000000,8.023288,10.113889,8.065188
658,1,0,0,4,0.000000,0.000000,0.000000,0.715776,0.715776,0.292400,0.000000,0.000000,0.155400,0.011600,0.000000,0.000000,0.000000,0.000000,8.025788,10.351789,8.069589
659,1,0,0,4,0.000000,0.000000,0.000000,0.713760,0.713760,0.285200,0.000000,0.000000,0.200300,0.011700,0.000000,0.000000,0.000000,0.000000,7.871689,9.934189,7.916389
660,1,0,0,4,0.000000,0.000000,0.000000,0.715776,0.715776,0.280600,0.000000,0.000000,0.132900,0.014600,0.000000,0.000000,0.000000,0.000000,7.869988,9.859289,7.911788
661,1,0,0,4,0.000000,0.000000,0.000000,0.713728,0.713728,0.283100,0.000000,0.000000,0.560100,0.011800,0.000000,0.000000,0.000000,0.000000,7.868389,10.457889,7.911889
662,1,0,0,4,0.000000,0.000000,0.000000,0.728064,0.728064,0.309500,0.000000,0.000000,0.120400,0.013500,0.000000,0.000000,0.000000,0.000000,7.868389,9.816889,7.925189
663,1,0,0,4,0.000000,0.000000,0.000000,0.721888,0.721888,0.279800,0.000000,0.000000,0.130400,0.010800,0.000000,0.000000,0.000000,0.000000,7.871688,9.905589,7.916489
664,1,0,0,4,0.000000,0.000000,0.000000,0.720896,0.720896,1.717800,0.000000,0.000000,0.373400,0.011800,0.000000,0.000000,0.000000,0.000000,7.873089,11.540189,9.200889
665,1,0,0,4,0.000000,0.000000,0.000000,0.727072,0.727072,0.270400,0.000000,0.000000,0.105000,0.011300,0.000000,0.000000,0.000000,0.000000,6.657089,9.855089,6.701088
666,1,0,0,4,0.000000,0.000000,0.000000,0.722944,0.722944,0.304100,0.000000,0.000000,0.174100,0.013300,0.000000,0.000000,0.000000,0.000000,6.657588,9.913689,6.701788
667,1,0,0,4,0.000000,0.000000,0.000000,0.714752,0.714752,0.300000,0.000000,0.000000,0.191300,0.011300,0.000000,0.000000,0.000000,0.000000,6.658988,9.904989,6.704589
668,1,0,0,4,0.000000,0.000000,0.000000,0.723968,0.723968,0.191500,0.000000,0.000000,0.109900,0.010300,0.000000,0.000000,0.000000,0.000000,6.652189,9.740489,6.682989
669,1,0,0,4,0.000000,0.000000,0.000000,0.722944,0.722944,0.250200,0.000000,0.000000,0.119500,0.007100,0.000000,0.000000,0.000000,0.000000,6.653288,9.741688,6.687288
670,1,0,0,4,0.000000,0.000000,0.000000,0.718848,0.718848,0.157100,0.000000,0.000000,0.108100,0.007900,0.000000,0.000000,0.000000,0.000000,6.652088,9.679889,6.675988
671,1,0,0,4,0.000000,0.000000,0.000000,0.718848,0.718848,0.227100,0.000000,0.000000,0.113300,0.008200,0.000000,0.000000,0.000000,0.000000,6.654189,9.781690,6.687889
672,1,0,0,4,0.000000,0.000000,0.000000,0.715776,0.715776,0.198500,0.000000,0.000000,0.111300,0.012600,0.000000,0.000000,0.000000,0.000000,6.652389,9.694288,6.679789
673,1,0,0,4,0.000000,0.000000,0.000000,0.709632,0.709632,0.158900,0.000000,0.000000,0.088800,0.007300,0.000000,0.000000,0.000000,0.000000,6.651789,9.579189,6.674989
674,1,0,0,4,0.000000,0.000000,0.000000,0.713760,0.713760,0.161200,0.000000,0.000000,0.087700,0.006500,0.000000,0.000000,0.000000,0.000000,6.651588,9.613489,6.674988
675,1,0,0,4,0.000000,0.000000,0.000000,0.713728,0.713728,0.256700,0.000000,0.000000,0.107800,0.007000,0.000000,0.000000,0.000000,0.000000,6.655388,9.605289,6.690889
676,1,0,0,4,0.000000,0.000000,0.000000,0.714752,0.714752,0.159700,0.000000,0.000000,0.090300,0.009300,0.000000,0.000000,0.000000,0.000000,6.652189,9.667389,6.675589
677,1,0,0,4,0.000000,0.000000,0.000000,0.714752,0.714752,0.185400,0.000000,0.000000,0.093300,0.008800,0.000000,0.000000,0.000000,0.000000,6.653188,9.646488,6.681489
678,1,0,0,4,0.000000,0.000000,0.000000,0.716800,0.716800,0.215600,0.000000,0.000000,0.157500,0.011700,0.000000,0.000000,0.000000,0.000000,6.653989,9.760789,6.682288
