FrameIndex,NumFramePresents,NumMisPresented,NumDroppedFrames,ReprojectionFlags,SystemTimeInSeconds,PreSubmitGpuMs,PostSubmitGpuMs,TotalRenderGpuMs,CompositorRenderGpuMs,CompositorRenderCpuMs,CompositorIdleCpuMs,ClientFrameIntervalMs,PresentCallCpuMs,WaitForPresentCpuMs,SubmitFrameMs,WaitGetPosesCalledMs,NewPosesReadyMs,NewFrameReadyMs,CompositorUpdateStartMs,CompositorUpdateEndMs,CompositorRenderStartMs
1208,1,0,0,4,0.000000,0.000000,0.000000,0.557504,0.557504,0.266900,0.000000,0.000000,0.139500,0.012700,0.000000,0.000000,0.000000,0.000000,8.543789,10.022789,8.588989
1209,1,0,0,4,0.000000,0.000000,0.000000,0.548544,0.548544,0.260000,0.000000,0.000000,0.099900,0.010800,0.000000,0.000000,0.000000,0.000000,8.540389,10.003388,8.584789
1210,1,0,0,4,0.000000,0.000000,0.000000,0.550720,0.550720,0.255300,0.000000,0.000000,0.165100,0.008900,0.000000,0.000000,0.000000,0.000000,8.542089,9.932089,8.584689
1211,1,0,0,4,0.000000,0.000000,0.000000,0.552384,0.552384,0.181800,0.000000,0.000000,0.091700,0.012400,0.000000,0.000000,0.000000,0.000000,8.542488,9.835689,8.573289
1212,1,0,0,4,0.000000,0.000000,0.000000,0.560192,0.560192,0.200400,0.000000,0.000000,0.085900,0.028100,0.000000,0.000000,0.000000,0.000000,8.540789,10.052988,8.576188
1213,1,0,0,4,0.000000,0.000000,0.000000,0.560672,0.560672,0.186800,0.000000,0.000000,0.093800,0.008700,0.000000,0.000000,0.000000,0.000000,8.540889,9.951789,8.574088
1214,1,0,0,4,0.000000,0.000000,0.000000,0.554144,0.554144,0.265800,0.000000,0.000000,0.110300,0.007000,0.000000,0.000000,0.000000,0.000000,8.540989,9.963788,8.577288
1215,1,0,0,4,0.000000,0.000000,0.000000,0.560928,0.560928,0.202500,0.000000,0.000000,0.085700,0.006900,0.000000,0.000000,0.000000,0.000000,8.540389,9.916389,8.576988
1216,1,0,0,4,0.000000,0.000000,0.000000,0.556928,0.556928,0.251400,0.000000,0.000000,0.090000,0.008000,0.000000,0.000000,0.000000,0.000000,8.543688,9.908988,8.589288
1217,1,0,0,4,0.000000,0.000000,0.000000,0.559552,0.559552,0.171800,0.000000,0.000000,0.085000,0.008500,0.000000,0.000000,0.000000,0.000000,8.539889,9.817089,8.568389
1218,1,0,0,4,0.000000,0.000000,0.000000,0.560576,0.560576,0.179600,0.000000,0.000000,0.096700,0.008900,0.000000,0.000000,0.000000,0.000000,8.540388,9.850188,8.571089
1219,1,0,0,4,0.000000,0.000000,0.000000,0.554432,0.554432,0.162400,0.000000,0.000000,0.114700,0.006800,0.000000,0.000000,0.000000,0.000000,8.539788,9.943789,8.566589
1220,1,0,0,4,0.000000,0.000000,0.000000,0.549152,0.549152,0.241600,0.000000,0.000000,0.096700,0.010900,0.000000,0.000000,0.000000,0.000000,8.541189,9.802789,8.599889
1221,1,0,0,4,0.000000,0.000000,0.000000,0.545088,0.545088,0.164800,0.000000,0.000000,0.083600,0.006500,0.000000,0.000000,0.000000,0.000000,8.540989,9.802889,8.573389
1222,1,0,0,4,0.000000,0.000000,0.000000,0.549664,0.549664,0.219000,0.000000,0.000000,0.095800,0.006500,0.000000,0.000000,0.000000,0.000000,8.541689,9.875389,8.577389
1223,1,0,0,4,0.000000,0.000000,0.000000,0.557664,0.557664,0.163500,0.000000,0.000000,0.098200,0.009400,0.000000,0.000000,0.000000,0.000000,8.540188,9.843988,8.568188
1224,1,0,0,4,0.000000,0.000000,0.000000,0.557504,0.557504,0.183800,0.000000,0.000000,0.173600,0.012800,0.000000,0.000000,0.000000,0.000000,8.539489,10.108889,8.571789
1225,1,0,0,4,0.000000,0.000000,0.000000,0.545632,0.545632,0.405400,0.000000,0.000000,0.082600,0.006700,0.000000,0.000000,0.000000,0.000000,8.543589,10.022889,8.607489
1226,1,0,0,4,0.000000,0.000000,0.000000,0.548960,0.548960,0.259200,0.000000,0.000000,0.090000,0.007400,0.000000,0.000000,0.000000,0.000000,8.428789,10.013589,8.468389
1227,1,0,0,4,0.000000,0.000000,0.000000,0.547360,0.547360,0.249200,0.000000,0.000000,0.089800,0.008700,0.000000,0.000000,0.000000,0.000000,8.427189,9.814288,8.469389
1228,1,0,0,4,0.000000,0.000000,0.000000,0.544352,0.544352,0.183100,0.000000,0.000000,0.155200,0.007600,0.000000,0.000000,0.000000,0.000000,8.427189,9.893289,8.459588
1229,1,0,0,4,0.000000,0.000000,0.000000,0.544640,0.544640,0.259300,0.000000,0.000000,0.113500,0.009600,0.000000,0.000000,0.000000,0.000000,8.431389,9.970889,8.477289
