FrameIndex,SystemTimeInSeconds,Frame difference,Frame Number,PinnedMemorySystemTime,PM Frame difference
5621,83.400198,,1,177.140841,#REF!
5622,83.578913,0.178715,2,177.152022,0.011181
5623,83.590097,0.011184,3,177.174367,0.022345
5624,83.612425,0.022328,4,177.196703,0.022336
5625,83.634767,0.022342,5,177.219036,0.022333
5626,83.65713,0.022363,6,177.241379,0.022343
5627,83.690626,0.033496,7,177.274882,0.033503
5628,83.701786,0.01116,8,177.297225,0.022343
5629,83.746469,0.044683,9,177.319567,0.022342
5630,83.768806,0.022337,10,177.341905,0.022338
5631,83.791159,0.022353,11,177.364251,0.022346
5632,83.813487,0.022328,12,177.386595,0.022344
5633,83.835835,0.022348,13,177.442443,0.055848
5634,83.858167,0.022332,14,177.475973,0.03353
5635,83.880508,0.022341,15,177.509477,0.033504
5636,83.902848,0.02234,16,177.54298,0.033503
5637,83.925199,0.022351,17,177.576493,0.033513
5638,83.947536,0.022337,18,177.610002,0.033509
5639,83.969869,0.022333,19,177.64349,0.033488
5640,83.992213,0.022344,20,177.677017,0.033527
5641,84.014565,0.022352,21,177.710524,0.033507
5642,84.036894,0.022329,22,177.74404,0.033516
5643,84.059239,0.022345,23,177.777552,0.033512
5644,84.081571,0.022332,24,177.811056,0.033504
5645,84.103917,0.022346,25,177.844571,0.033515
5646,84.126257,0.02234,26,177.878081,0.03351
5647,84.148597,0.02234,27,177.911589,0.033508
5648,84.170935,0.022338,28,177.945104,0.033515
5649,84.193271,0.022336,29,177.978613,0.033509
5650,84.215622,0.022351,30,178.012137,0.033524
5651,84.237981,0.022359,31,178.045632,0.033495
5652,84.260302,0.022321,32,178.079142,0.03351
5653,84.28264,0.022338,33,178.112658,0.033516
5654,84.304986,0.022346,34,178.146164,0.033506
5655,84.327321,0.022335,35,178.17968,0.033516
5656,84.34966,0.022339,36,178.213185,0.033505
5657,84.37202,0.02236,37,178.235539,0.022354
5658,84.394351,0.022331,38,178.257871,0.022332
