FrameIndex,SystemTimeInSeconds,Frame difference,Frame Number,PinnedMemorySystemTime,PM Frame difference,,SubDataSystemTime,PinnedSystemTime,TimeDifference
5621,83.400198,,1,177.140841,#REF!,,0,0,0
5622,83.578913,0.178715,2,177.152022,0.011181,,0.178715,0.011181,0.167534
5623,83.590097,0.011184,3,177.174367,0.022345,,0.189899,0.033526,0.156373
5624,83.612425,0.022328,4,177.196703,0.022336,,0.212227,0.055862,0.156365
5625,83.634767,0.022342,5,177.219036,0.022333,,0.234569,0.078195,0.156374
5626,83.65713,0.022363,6,177.241379,0.022343,,0.256932,0.100538,0.156394
5627,83.690626,0.033496,7,177.274882,0.033503,,0.290428,0.134041,0.156387
5628,83.701786,0.01116,8,177.297225,0.022343,,0.301588,0.156384,0.145204
5629,83.746469,0.044683,9,177.319567,0.022342,,0.346271,0.178726,0.167545
5630,83.768806,0.022337,10,177.341905,0.022338,,0.368608,0.201064,0.167544
5631,83.791159,0.022353,11,177.364251,0.022346,,0.390961,0.22341,0.167551
5632,83.813487,0.022328,12,177.386595,0.022344,,0.413289,0.245754,0.167535
5633,83.835835,0.022348,13,177.442443,0.055848,,0.435637,0.301602,0.134035
5634,83.858167,0.022332,14,177.475973,0.03353,,0.457969,0.335132,0.122837
5635,83.880508,0.022341,15,177.509477,0.033504,,0.48031,0.368636,0.111674
5636,83.902848,0.02234,16,177.54298,0.033503,,0.50265,0.402139,0.100511
5637,83.925199,0.022351,17,177.576493,0.033513,,0.525001,0.435652,0.089349
5638,83.947536,0.022337,18,177.610002,0.033509,,0.547338,0.469161,0.078177
5639,83.969869,0.022333,19,177.64349,0.033488,,0.569671,0.502649,0.067022
5640,83.992213,0.022344,20,177.677017,0.033527,,0.592015,0.536176,0.055839
5641,84.014565,0.022352,21,177.710524,0.033507,,0.614367,0.569683,0.044684
5642,84.036894,0.022329,22,177.74404,0.033516,,0.636696,0.603199,0.033497
5643,84.059239,0.022345,23,177.777552,0.033512,,0.659041,0.636711,0.02233
5644,84.081571,0.022332,24,177.811056,0.033504,,0.681373,0.670215,0.011158
5645,84.103917,0.022346,25,177.844571,0.033515,,0.703719,0.70373,-1.1E-05
5646,84.126257,0.02234,26,177.878081,0.03351,,0.726059,0.73724,-0.011181
5647,84.148597,0.02234,27,177.911589,0.033508,,0.748399,0.770748,-0.022349
5648,84.170935,0.022338,28,177.945104,0.033515,,0.770737,0.804263,-0.033526
5649,84.193271,0.022336,29,177.978613,0.033509,,0.793073,0.837772,-0.044699
5650,84.215622,0.022351,30,178.012137,0.033524,,0.815424,0.871296,-0.055872
5651,84.237981,0.022359,31,178.045632,0.033495,,0.837783,0.904791,-0.067008
5652,84.260302,0.022321,32,178.079142,0.03351,,0.860104,0.938301,-0.078197
5653,84.28264,0.022338,33,178.112658,0.033516,,0.882442,0.971817,-0.089375
5654,84.304986,0.022346,34,178.146164,0.033506,,0.904788,1.005323,-0.100535
5655,84.327321,0.022335,35,178.17968,0.033516,,0.927123,1.038839,-0.111716
5656,84.34966,0.022339,36,178.213185,0.033505,,0.949462,1.072344,-0.122882
5657,84.37202,0.02236,37,178.235539,0.022354,,0.971822,1.094698,-0.122876
5658,84.394351,0.022331,38,178.257871,0.022332,,0.994153,1.11703,-0.122877
5659,84.416685,0.022334,39,178.280211,0.02234,,1.016487,1.13937,-0.122883
5660,84.439041,0.022356,40,178.302549,0.022338,,1.038843,1.161708,-0.122865
5661,84.461372,0.022331,41,178.32489,0.022341,,1.061174,1.184049,-0.122875
5662,84.483725,0.022353,42,178.347241,0.022351,,1.083527,1.2064,-0.122873
5663,84.506063,0.022338,43,178.369568,0.022327,,1.105865,1.228727,-0.122862
