FrameIndex,NumFramePresents,NumMisPresented,NumDroppedFrames,ReprojectionFlags,SystemTimeInSeconds,PreSubmitGpuMs,PostSubmitGpuMs,TotalRenderGpuMs,CompositorRenderGpuMs,CompositorRenderCpuMs,CompositorIdleCpuMs,ClientFrameIntervalMs,PresentCallCpuMs,WaitForPresentCpuMs,SubmitFrameMs,WaitGetPosesCalledMs,NewPosesReadyMs,NewFrameReadyMs,CompositorUpdateStartMs,CompositorUpdateEndMs,CompositorRenderStartMs
10609,2,1,0,92,173.946732,10.797631,0.018592,11.486623,0.670400,1.143600,0.000000,1.986200,0.334500,0.022700,0.704000,-25.422623,-5.110223,-3.140323,7.450289,10.437288,7.484488
10610,2,1,0,92,173.969080,11.722368,0.018336,12.380800,0.640096,1.091400,0.000000,2.007200,0.255100,0.082300,0.754000,-25.390923,-5.105824,-2.277023,7.273889,9.909188,7.314188
10611,2,1,0,28,173.991422,5.838848,0.018016,6.496192,0.639328,1.041700,0.000000,2.891800,0.254900,0.022800,0.640700,-24.506023,-5.102323,-3.175223,7.279388,10.010988,7.325788
10612,1,0,0,28,174.013764,11.788576,0.017920,12.446112,0.639616,0.357100,0.000000,1.987400,0.093500,0.015600,0.818100,-25.407022,-5.101323,-2.298123,7.276588,9.783688,7.315588
10613,1,0,0,28,174.024928,13.357344,0.019104,14.045983,0.669536,0.661500,0.000000,2.875900,0.104200,0.012700,0.662600,-13.340923,-5.105023,-2.818423,7.276389,9.893289,7.309089
10614,3,2,0,28,174.036100,12.862049,0.018592,13.519489,0.638848,2.130800,0.000000,5.450100,0.393200,0.028200,0.584400,-10.774424,-5.099723,-2.933223,7.086389,10.378388,7.114789
10615,1,1,0,28,174.047279,13.242400,0.018112,14.236576,0.976064,0.850000,0.000000,8.388101,0.089300,0.006600,0.682800,-7.810423,-5.106122,-3.145523,7.089388,10.162489,7.126888
10616,0,0,0,28,174.058449,13.673248,0.018368,13.691616,0.000000,0.000000,0.000000,11.139100,0.000000,0.000000,0.894900,-5.082022,-5.103622,-2.380122,0.000000,0.000000,0.000000
10617,1,0,0,28,174.080778,12.936417,0.018944,13.593760,0.638400,0.760200,0.000000,14.444099,0.087700,0.008700,0.822900,-12.476023,-5.108023,-3.096423,7.096989,9.809989,7.136189
10618,3,2,0,28,174.091950,12.354848,0.018080,13.011904,0.638976,1.871600,0.000000,7.542600,0.400700,0.028200,0.823200,-8.695323,-5.111423,-2.916123,7.091389,10.266088,7.127389
10619,0,0,0,28,174.103178,13.371873,0.017728,13.389601,0.000000,0.000000,0.000000,10.542800,0.000000,0.000000,0.575600,-5.743123,-5.110623,-2.946923,0.000000,0.000000,0.000000
10620,1,0,0,28,174.125459,13.059360,0.018592,13.714656,0.636704,0.897800,0.000000,12.425800,0.208600,0.008000,0.615300,-14.926523,-5.110323,-3.315423,7.090789,9.898688,7.128189
10621,3,2,0,28,174.136630,13.259840,0.018816,13.915680,0.637024,1.690600,0.000000,5.877700,0.418800,0.034900,0.702000,-10.361723,-5.111223,-3.134123,7.085189,10.073389,7.112789
10622,0,0,0,28,174.147792,13.176415,0.017952,13.194367,0.000000,0.000000,0.000000,9.747300,0.000000,0.000000,0.725500,-6.467022,-5.106722,-3.049322,0.000000,0.000000,0.000000
10623,1,0,0,28,174.170138,3.094240,0.018848,3.755104,0.642016,0.679200,0.000000,11.239400,0.086600,0.006800,0.822800,-16.173922,-5.109022,-1.504122,7.085089,9.795089,7.114989
10624,1,0,0,28,174.181310,13.416896,0.018528,14.080031,0.644608,0.924800,0.000000,3.779300,0.082300,0.007400,0.666200,-12.454223,-5.110222,-3.364322,7.092689,9.605788,7.119288
10625,3,2,0,28,174.192486,12.569056,0.018336,13.257473,0.670080,1.763800,0.000000,7.011300,0.282200,0.042300,0.623300,-9.228123,-4.960123,-2.970223,7.084888,9.994988,7.112989
10626,0,0,0,28,174.203647,13.620288,0.018400,13.638688,0.000000,0.000000,0.000000,9.423599,0.000000,0.000000,0.725200,-6.562823,-4.872823,-2.783523,0.000000,0.000000,0.000000
10627,1,0,0,28,174.226010,12.812640,0.017824,13.468513,0.638048,0.704300,0.000000,11.692700,0.080800,0.009900,0.579700,-15.488723,-4.781322,-2.986222,7.088188,9.964688,7.119788
10628,1,0,0,28,174.237171,13.300384,0.017664,13.955551,0.637504,0.632100,0.000000,5.993100,0.087500,0.006900,0.586500,-9.896723,-4.787523,-3.010523,7.091889,9.638789,7.119689
10629,3,2,0,28,174.248330,12.965120,0.018144,13.622047,0.638784,1.739600,0.000000,7.971900,0.299400,0.021400,1.152100,-7.935623,-4.790023,-2.219523,7.086889,10.008489,7.114289
10630,0,0,0,28,174.259506,16.167936,0.018464,16.186399,0.000000,0.000000,0.000000,10.544399,0.000000,0.000000,0.610900,-5.380922,-4.788023,-3.040522,0.000000,0.000000,0.000000
10631,3,2,0,28,174.281834,12.996192,0.018656,13.655552,0.640704,1.670600,0.000000,13.182699,0.311200,0.023200,0.826100,-13.894023,-4.788123,-2.255323,7.085889,10.089088,7.113988
10632,0,0,0,28,174.293006,13.768897,0.018848,13.787745,0.000000,0.000000,0.000000,8.736000,0.000000,0.000000,0.706200,-7.166023,-4.788123,-2.982223,0.000000,0.000000,0.000000
10633,1,0,0,28,174.315352,13.037184,0.018432,13.699103,0.643488,0.700600,0.000000,12.033700,0.114700,0.013300,0.757900,-15.060722,-4.787622,-2.545023,7.086188,9.779589,7.115589
10634,4,3,0,28,174.326519,12.683552,0.017824,13.341600,0.640224,2.804700,0.000000,5.629800,0.372800,0.029600,0.775800,-10.280123,-4.782323,-2.803523,6.813389,10.184588,6.890889
10635,0,0,0,28,174.337688,26.431711,0.018592,26.450304,0.000000,0.000000,0.000000,9.626300,0.000000,0.000000,0.673900,-6.280823,-4.789623,-2.952723,0.000000,0.000000,0.000000
10636,1,1,0,28,174.348864,0.850272,0.017600,1.849568,0.981696,0.643500,0.000000,10.753600,0.107000,0.007800,0.593800,-5.154623,-4.786823,-1.762323,6.816788,9.925788,6.857288
10637,1,0,0,28,174.382379,4.068000,0.017632,4.725024,0.639392,0.363000,0.000000,28.568501,0.113900,0.007100,0.617800,-9.689922,-4.789922,-3.030023,6.840989,9.930789,6.876289
10638,1,0,0,28,174.393547,13.087296,0.018464,13.745473,0.639712,1.022300,0.000000,1.818000,0.116700,0.008700,0.612600,-14.101323,-4.787723,-2.991123,6.821789,9.837789,6.848189
10639,3,2,0,28,174.404881,13.487328,0.018848,14.144640,0.638464,2.068500,0.000000,5.453600,0.396600,0.032800,0.732000,-10.626622,-4.785223,-2.109923,6.812189,10.237689,6.840789
10640,1,1,0,28,174.415879,13.278400,0.018688,14.278881,0.981792,0.622600,0.000000,7.474400,0.096700,0.007700,0.586000,-8.259422,-4.788923,-2.933122,6.830688,10.229289,6.857988
10641,0,0,0,92,174.427055,13.088673,0.018368,13.107040,0.000000,0.000000,0.000000,10.797900,0.000000,0.000000,0.597000,-5.129823,-4.783823,-2.698923,0.000000,0.000000,0.000000
10642,3,2,0,92,174.449420,13.511295,0.018432,14.171167,0.641440,1.714100,0.000000,14.704600,0.354700,0.027600,0.761700,-12.389522,-4.785023,-2.512722,6.866788,10.308788,6.896388
10643,0,0,0,92,174.460601,20.235680,0.017472,20.253151,0.000000,0.000000,0.000000,7.696600,0.000000,0.000000,0.954400,-8.209323,-4.783423,-2.650223,0.000000,0.000000,0.000000
10644,2,1,0,92,174.482900,13.433984,0.017696,14.090080,0.638400,1.857100,0.000000,11.422899,0.234000,0.016600,0.874900,-15.592023,-4.773823,0.033977,6.873088,10.344588,6.943289
10645,2,1,0,92,174.505266,4.052032,0.017792,4.705696,0.635872,1.239900,0.000000,9.675000,0.268800,0.019000,0.631300,-17.395222,-5.874023,-3.925423,6.758388,9.970988,6.800088
10646,2,1,0,92,174.527588,7.780288,0.017856,8.434207,0.636064,1.042500,0.000000,3.811700,0.209600,0.016200,0.721300,-24.271221,-5.990122,-4.070422,6.754289,10.348788,6.784189
10647,2,1,0,92,174.549934,3.224992,0.017760,3.844960,0.602208,0.903900,0.000000,1.979400,0.217700,0.024700,0.691300,-26.295122,-5.985923,-3.607823,6.753889,9.864389,6.780689
10648,2,1,0,92,174.572268,3.776160,0.019392,4.435552,0.640000,1.041100,0.000000,2.490600,0.272100,0.025800,0.755300,-25.778122,-5.988723,-3.744123,6.753189,9.936688,6.780389
10649,2,1,0,92,174.594613,8.228447,0.018400,8.884928,0.638080,0.893400,0.000000,2.224100,0.259400,0.040800,0.847400,-25.978222,-5.989423,-3.771523,6.754189,10.208388,6.778489
10650,2,1,0,92,174.616943,3.020768,0.019424,3.635904,0.595712,0.917900,0.000000,2.266600,0.190200,0.016100,0.630000,-26.007822,-5.990122,-4.080022,6.758289,9.944388,6.792289
10651,2,1,0,92,174.639294,3.478080,0.018432,4.138336,0.641824,0.897100,0.000000,1.942800,0.238400,0.025800,0.577600,-26.338722,-5.990623,-4.241722,6.764688,10.256988,6.792889
10652,2,1,0,92,174.661633,8.340672,1.137984,10.074112,0.595456,0.834500,0.000000,1.798400,0.192800,0.027700,0.631700,-26.486824,-5.990922,-4.167023,6.753788,10.159789,6.781289
10653,2,1,0,92,174.683967,8.108576,0.017568,8.725247,0.599104,1.016800,0.000000,1.871500,0.207500,0.017300,0.650600,-26.406622,-5.990422,-4.106923,6.797489,9.821989,6.824089
10654,2,1,0,92,174.706317,3.442528,0.017536,4.098721,0.638656,0.980500,0.000000,1.917100,0.203000,0.014700,0.833100,-26.362022,-5.987223,-3.520523,6.882689,9.939690,6.910289
10655,2,1,0,92,174.728655,8.880287,0.021120,9.541215,0.639808,0.999700,0.000000,2.531000,0.209200,0.018500,0.703700,-25.740822,-5.977023,-3.920923,6.975889,9.963188,7.015089
10656,2,1,0,92,174.750990,3.213952,0.017760,3.869344,0.637632,0.974900,0.000000,2.063200,0.275300,0.040600,0.705000,-26.158024,-5.990123,-2.896323,7.057689,10.023289,7.089589
10657,2,1,0,92,174.773333,3.227680,0.021312,3.890048,0.641056,0.969400,0.000000,3.166400,0.225600,0.027000,0.721500,-25.107723,-5.988623,-3.865123,7.074689,9.908789,7.102489
10658,2,1,0,92,174.795675,9.968416,0.018624,10.622688,0.635648,0.934100,0.000000,2.255000,0.256600,0.014200,0.664100,-26.019924,-5.981623,-3.305723,7.074188,10.035289,7.101488
10659,2,1,0,92,174.818016,4.292480,0.020736,4.950464,0.637248,1.007100,0.000000,2.721600,0.252900,0.014900,0.596000,-25.551023,-5.992123,-3.898222,7.074189,10.107289,7.101289
10660,2,1,0,92,174.840376,4.128704,0.020320,4.786112,0.637088,1.082100,0.000000,2.147600,0.175300,0.015100,0.736000,-26.145021,-5.989623,-3.705023,7.076488,10.088188,7.134788
10661,2,1,0,92,174.862694,10.410880,0.017472,11.064288,0.635936,0.933000,0.000000,2.340100,0.227800,0.026800,0.656800,-25.912823,-5.990922,-4.095023,7.156988,10.083889,7.185988
