FrameIndex,NumFramePresents,NumMisPresented,NumDroppedFrames,ReprojectionFlags,SystemTimeInSeconds,PreSubmitGpuMs,PostSubmitGpuMs,TotalRenderGpuMs,CompositorRenderGpuMs,CompositorRenderCpuMs,CompositorIdleCpuMs,ClientFrameIntervalMs,PresentCallCpuMs,WaitForPresentCpuMs,SubmitFrameMs,WaitGetPosesCalledMs,NewPosesReadyMs,NewFrameReadyMs,CompositorUpdateStartMs,CompositorUpdateEndMs,CompositorRenderStartMs
10159,1,0,0,4,0.000000,0.000000,0.000000,0.770048,0.770048,0.449400,0.000000,0.000000,0.101000,0.007400,0.000000,0.000000,0.000000,0.000000,7.627488,9.711888,7.661189
10160,1,0,0,4,0.000000,0.000000,0.000000,0.772096,0.772096,0.524300,0.000000,0.000000,0.161000,0.007200,0.000000,0.000000,0.000000,0.000000,7.628389,9.800789,7.668088
10161,1,0,859,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.658500,0.000000,0.000000,0.108600,0.013400,0.000000,0.000000,0.000000,0.000000,7.633600,10.003901,7.708100
10162,1,0,0,4,0.000000,0.000000,0.000000,0.770016,0.770016,0.653100,0.000000,0.000000,0.112700,0.014700,0.000000,0.000000,0.000000,0.000000,7.632000,9.814500,7.684300
10163,1,0,0,4,0.000000,0.000000,0.000000,0.766976,0.766976,0.605500,0.000000,0.000000,0.153200,0.013200,0.000000,0.000000,0.000000,0.000000,7.650989,9.996789,7.693289
10164,1,0,0,4,0.000000,0.000000,0.000000,0.770048,0.770048,0.607100,0.000000,0.000000,0.137400,0.012600,0.000000,0.000000,0.000000,0.000000,7.660489,10.082189,7.709789
10165,1,0,0,4,0.000000,0.000000,0.000000,0.775168,0.775168,0.657600,0.000000,0.000000,0.124500,0.014200,0.000000,0.000000,0.000000,0.000000,7.660689,10.077788,7.729189
10166,1,0,0,4,0.000000,0.000000,0.000000,0.765952,0.765952,0.614000,0.000000,0.000000,0.118100,0.014600,0.000000,0.000000,0.000000,0.000000,7.660489,9.908289,7.706089
10167,1,0,0,4,0.000000,0.000000,0.000000,0.766976,0.766976,0.617700,0.000000,0.000000,0.140800,0.013700,0.000000,0.000000,0.000000,0.000000,7.661289,10.081589,7.708989
10168,1,0,0,4,0.000000,0.000000,0.000000,0.778240,0.778240,0.612300,0.000000,0.000000,0.115500,0.033400,0.000000,0.000000,0.000000,0.000000,7.660889,9.900389,7.714589
10169,1,0,0,4,0.000000,0.000000,0.000000,0.766976,0.766976,0.644800,0.000000,0.000000,0.108700,0.013500,0.000000,0.000000,0.000000,0.000000,7.660589,10.052789,7.715089
10170,1,0,0,4,0.000000,0.000000,0.000000,0.773120,0.773120,0.716200,0.000000,0.000000,0.112400,0.013400,0.000000,0.000000,0.000000,0.000000,7.660289,10.041889,7.711189
10171,1,0,0,4,0.000000,0.000000,0.000000,0.775168,0.775168,0.631500,0.000000,0.000000,0.137800,0.012900,0.000000,0.000000,0.000000,0.000000,7.637888,10.103589,7.715989
10172,1,0,0,4,0.000000,0.000000,0.000000,0.770048,0.770048,0.583600,0.000000,0.000000,0.110000,0.013400,0.000000,0.000000,0.000000,0.000000,7.635588,9.888888,7.679189
10173,1,0,0,4,0.000000,0.000000,0.000000,0.770048,0.770048,1.121800,0.000000,0.000000,0.121900,0.010900,0.000000,0.000000,0.000000,0.000000,7.636489,10.778389,7.700189
10174,1,0,0,4,0.000000,0.000000,0.000000,0.770048,0.770048,0.583400,0.000000,0.000000,0.147300,0.013000,0.000000,0.000000,0.000000,0.000000,7.066888,9.828288,7.105388
10175,1,0,0,4,0.000000,0.000000,0.000000,0.768000,0.768000,0.599100,0.000000,0.000000,0.115500,0.012000,0.000000,0.000000,0.000000,0.000000,7.068789,9.796389,7.118889
10176,1,0,0,4,0.000000,0.000000,0.000000,0.769024,0.769024,0.641200,0.000000,0.000000,0.169200,0.011700,0.000000,0.000000,0.000000,0.000000,7.067489,9.826789,7.111989
10177,1,0,0,4,0.000000,0.000000,0.000000,0.766976,0.766976,0.611400,0.000000,0.000000,0.109400,0.011100,0.000000,0.000000,0.000000,0.000000,7.068089,9.887488,7.115689
10178,1,0,0,4,0.000000,0.000000,0.000000,0.787456,0.787456,0.611100,0.000000,0.000000,0.106100,0.011200,0.000000,0.000000,0.000000,0.000000,7.068289,10.703189,7.107989
